Designator,Mid X,Mid Y,Layer,Rotation
C1,231.14,-93.726,top,0
C2,246.126,-104.394,top,-90
C3,240.792,-87.63,top,180
C4,226.7005,-100.33,top,0
C5,218.059,-99.441,top,0
C6,227.33,-90.17,top,-90
C7,221.385,-95.25,top,90
C8,216.3525,-95.25,top,90
C9,225.044,-78.232,top,90
C10,227.33,-78.232,top,90
C11,246.872,-81.788,top,90
C12,241.808,-90.932,top,-90
C13,230.378,-97.028,top,-90
D1,253.746,-103.378,top,180
D2,253.746,-106.172,top,180
D3,215.9,-88.1125,top,90
D4,222.885,-76.835,top,-90
J1,219.964,-86.863,top,180
J2,245.247,-77.089,top,90
L1,225.806,-96.012,top,180
R1,246.634,-97.536,top,90
R2,249.936,-103.378,top,180
R3,249.936,-106.199,top,180
R4,215.9,-83.82,top,-90
R5,218.694,-95.25,top,90
R6,220.726,-90.932,top,90
R7,222.885,-80.645,top,90
R8,226.06,-81.28,top,0
R9,245.602,-88.9,top,180
R10,250.428,-80.01,top,180
R11,226.568,-106.68,top,180
R12,231.394,-100.264,top,180
Rprog1,230.632,-91.186,top,180
U1,218.825,-110.363,top,0
U2,236.474,-90.424,top,0
U3,245.094,-85.725,top,180
U4,219.102,-103.124,top,0
U5,250.577,-96.876,top,90
U6,224.028,-90.424,top,90
U7,239.522,-104.394,top,0
U8,239.522,-97.536,top,180
U9,253.9955,-86.205,top,90
U10,235.585,-77.724,top,0
U11,231.5265,-103.632,top,180
U12,226.9545,-103.632,top,180
